process_id,arrival_time,cpu_usage,memory_usage,io_operations,process_type,priority,burst_time
P284,283,20,768,6,1,3,5.7
P285,284,66,292,7,3,2,9.61
P286,285,36,637,8,3,1,8.04
P287,286,65,100,3,3,2,12.75
P288,287,81,319,2,2,2,10.18
P289,288,82,684,1,1,1,13.2
P290,289,50,588,4,2,1,9.97
P291,290,23,713,3,2,2,8.75
P292,291,20,443,6,3,1,7.27
P293,292,34,164,10,3,3,3.39
P294,293,52,404,1,3,2,13.65
P295,294,30,721,10,2,2,10.32
P296,295,67,549,6,1,1,8.59
P297,296,45,764,5,2,1,9.1
P298,297,62,442,6,2,2,6.56
P299,298,62,120,7,3,3,8.69
P300,299,70,423,5,1,2,9.19
P301,300,38,433,4,1,2,7.32
P302,301,54,747,10,2,2,7.21
P303,302,21,688,4,2,1,5.35
P304,303,58,258,7,3,1,8.88
P305,304,61,544,10,2,3,7.13
P306,305,64,461,7,2,2,10.63
P307,306,40,319,9,2,1,3.41
P308,307,61,683,8,1,2,8.53
P309,308,56,679,2,3,3,11.68
P310,309,55,538,2,1,3,9.31
P311,310,68,582,2,1,3,8.44
P312,311,56,754,3,3,3,12.89
P313,312,29,689,9,2,1,4.54
P314,313,58,558,7,2,3,11.25
P315,314,87,317,6,2,3,9.76
P316,315,55,172,8,1,3,5.96
P317,316,89,524,7,1,1,10.96
P318,317,63,638,5,2,2,11.94
P319,318,86,480,10,3,2,12.54
P320,319,49,215,8,2,2,8.69
P321,320,55,552,9,3,2,8.99
P322,321,35,111,1,3,2,6.8
P323,322,42,447,3,2,1,9.53
P324,323,84,732,5,2,2,14.21
P325,324,51,260,5,2,2,6.38
P326,325,21,548,3,2,3,4.88
P327,326,45,295,2,3,2,9.67
P328,327,79,200,4,2,3,11.56
P329,328,68,141,6,2,1,9.48
P330,329,49,561,6,3,3,9.37
P331,330,71,625,9,3,1,12.19
P332,331,85,352,6,1,3,9.54
P333,332,33,209,6,2,1,5.38
P334,333,25,124,5,2,1,3.95
P335,334,87,636,4,1,1,12.87
P336,335,51,142,2,3,3,8.82
P337,336,50,616,3,2,2,9.76
P338,337,69,352,8,3,1,7.74
P339,338,28,198,5,1,2,2.14
P340,339,35,708,4,3,1,9.1
P341,340,71,320,4,2,3,11.42
P342,341,82,673,3,3,3,15.88
P343,342,33,554,5,1,2,5.22
P344,343,40,749,7,2,3,6.38
P345,344,24,164,5,2,2,2.43
P346,345,64,771,4,1,3,10.92
P347,346,79,494,5,3,1,11.08
P348,347,71,723,2,3,1,14.35
P349,348,71,521,10,1,2,6.2
P350,349,20,229,1,2,2,7.3
P351,350,77,331,5,3,3,12.97
P352,351,68,178,1,3,1,12.24
P353,352,88,515,1,3,1,16.66
P354,353,70,507,3,1,1,11.68
P355,354,39,376,8,2,3,4.11
P356,355,34,310,7,3,3,4.66
P357,356,77,360,5,2,2,9.33
P358,357,57,722,1,3,1,14.73
P359,358,85,562,2,3,1,13.72
P360,359,60,316,10,3,2,6.76
P361,360,29,248,4,3,2,9.22
P362,361,35,387,2,3,2,11.83
P363,362,34,372,8,2,3,4.7
P364,363,41,513,4,1,3,5.4
P365,364,65,212,8,1,3,4.04
P366,365,58,596,9,3,2,11.38
P367,366,40,496,5,2,2,8.81
P368,367,41,334,9,2,1,6.27
P369,368,32,565,2,1,1,7.94
P370,369,42,187,6,3,1,8.1
P371,370,80,452,8,3,3,11.8
P372,371,44,227,5,3,2,6.75
P373,372,77,755,8,1,1,9.24
P374,373,83,590,9,2,1,11.57
P375,374,65,330,2,1,1,11.31
P376,375,77,665,1,2,2,17.56
P377,376,53,536,9,3,3,8.72
P378,377,77,231,4,2,2,12.09
P379,378,45,568,6,3,1,8.82
P380,379,36,218,7,1,2,2.0
P381,380,22,435,10,3,2,8.64
P382,381,38,258,3,1,3,4.88
P383,382,41,763,10,2,1,7.05
P384,383,67,784,4,2,3,14.24
P385,384,74,580,2,3,1,16.27
P386,385,76,217,1,1,2,10.73
P387,386,23,759,6,3,2,9.47
P388,387,35,604,4,1,2,7.73
P389,388,69,718,1,2,2,15.61
P390,389,70,525,3,2,2,12.53
P391,390,88,448,5,1,1,8.79
P392,391,89,701,4,2,3,9.5
P393,392,58,740,8,1,2,7.39
P394,393,43,647,5,2,2,7.04
P395,394,49,441,7,3,3,8.47
P396,395,35,281,10,1,1,2.96
P397,396,89,655,9,1,3,10.23
P398,397,52,618,6,3,3,8.69
P399,398,51,302,4,3,3,11.25
P400,399,33,412,5,2,1,5.79
P401,400,88,230,7,2,1,8.15
P402,401,31,544,9,1,2,7.34
P403,402,87,589,9,3,2,14.07
P404,403,80,672,2,2,3,17.55
P405,404,60,522,6,1,1,5.7
P406,405,84,616,2,2,1,14.51
P407,406,85,197,3,1,3,8.72
P408,407,59,393,10,3,3,8.48
P409,408,82,660,7,1,2,11.94
P410,409,34,475,8,1,3,2.92
P411,410,33,480,9,2,2,7.84
P412,411,22,143,1,2,3,8.54
P413,412,25,778,4,3,1,8.07
P414,413,88,406,8,2,1,10.32
P415,414,55,584,5,3,1,12.07
P416,415,61,567,6,2,3,9.25
P417,416,22,358,2,3,2,7.19
P418,417,27,712,5,2,2,6.65
P419,418,38,643,9,3,2,6.33
P420,419,49,368,2,2,2,8.88
P421,420,78,346,5,1,3,11.72
P422,421,53,765,5,3,1,11.96
P423,422,28,471,6,2,2,4.25
P424,423,30,549,9,1,2,5.35
P425,424,22,687,10,1,2,2.78
P426,425,71,645,9,3,3,10.67
P427,426,77,174,9,3,2,10.66
P428,427,34,388,4,1,2,6.17
P429,428,85,582,8,3,3,13.41
P430,429,20,739,3,2,1,5.99
P431,430,66,242,5,3,1,11.85
P432,431,33,559,1,3,1,8.22
P433,432,25,350,7,3,3,3.61
P434,433,33,711,5,2,3,5.71
P435,434,38,641,4,1,1,6.3
P436,435,41,182,3,3,2,8.21
P437,436,38,383,4,1,3,7.12
P438,437,38,497,8,2,1,9.17
P439,438,80,775,8,1,2,10.3
P440,439,71,188,5,3,1,9.67
P441,440,78,433,9,3,2,12.29
P442,441,60,731,7,1,2,10.92
P443,442,67,769,3,3,2,13.95
P444,443,88,403,4,1,3,12.46
P445,444,63,300,9,3,1,7.02
P446,445,38,125,4,1,2,4.16
P447,446,40,649,4,1,1,9.25
P448,447,47,505,3,2,2,10.69
P449,448,53,446,7,1,1,5.29
P450,449,44,672,6,2,3,6.04
P451,450,27,566,10,1,1,2.7
P452,451,59,241,3,1,1,4.3
P453,452,32,800,6,1,2,5.57
P454,453,58,440,5,1,2,8.66
P455,454,73,481,9,1,1,8.88
P456,455,40,670,7,3,1,8.19
P457,456,58,496,3,3,1,13.8
P458,457,80,208,1,1,2,9.08
P459,458,88,619,9,3,2,13.01
P460,459,37,423,1,3,2,8.99
P461,460,38,511,8,1,1,2.14
P462,461,60,204,10,2,3,4.68
P463,462,29,309,3,2,1,7.67
P464,463,89,766,5,2,1,14.16
P465,464,57,486,8,2,1,8.41
P466,465,84,410,10,1,1,10.8
P467,466,81,148,9,3,1,9.49
P468,467,37,519,3,1,3,5.62
P469,468,72,733,2,3,3,11.84
P470,469,67,771,10,3,1,10.02
P471,470,52,778,2,1,3,8.34
P472,471,48,301,2,3,3,9.36
P473,472,30,675,5,2,2,10.21
P474,473,69,475,8,3,3,9.88
P475,474,64,765,6,3,3,11.94
P476,475,49,584,10,1,1,7.72
P477,476,61,223,5,3,3,9.9
P478,477,48,176,4,1,1,5.56
P479,478,41,167,5,1,1,7.03
P480,479,72,478,7,3,3,14.64
P481,480,61,453,3,2,1,13.21
P482,481,40,399,7,3,1,7.82
P483,482,82,379,3,1,3,9.61
P484,483,36,198,2,2,1,7.64
P485,484,43,264,7,1,1,8.29
P486,485,38,163,5,2,3,3.36
P487,486,73,784,6,1,2,9.78
P488,487,75,119,9,2,2,7.92
P489,488,31,681,1,3,3,9.24
P490,489,71,681,7,2,2,10.75
P491,490,52,315,7,3,3,5.27
P492,491,70,181,3,3,3,15.91
P493,492,23,464,3,3,1,5.84
P494,493,38,674,6,3,3,10.71
P495,494,88,112,7,2,2,11.25
P496,495,73,419,5,2,1,11.82
P497,496,43,646,8,2,1,7.14
P498,497,56,100,5,1,1,5.07
P499,498,79,227,9,3,1,10.46
P500,499,42,364,2,2,2,9.83
P501,500,23,513,6,3,3,10.13
P502,501,64,389,3,3,2,12.82
P503,502,35,165,8,1,3,2.0
P504,503,79,421,2,2,1,13.15
P505,504,75,210,2,3,3,13.49
P506,505,72,420,1,1,2,10.11
P507,506,72,632,3,1,3,9.38
P508,507,74,122,10,2,2,7.51
P509,508,71,759,2,2,2,14.36
P510,509,43,121,4,1,3,5.64
P511,510,27,565,7,3,2,5.78
P512,511,68,690,9,3,1,12.55
P513,512,45,195,6,2,1,4.79
P514,513,30,732,1,3,3,12.45
P515,514,28,773,4,2,3,7.9
P516,515,89,723,8,3,1,14.78
P517,516,36,797,7,2,1,10.14
P518,517,74,274,7,1,1,5.48
P519,518,32,200,1,3,1,8.9
P520,519,40,751,5,2,1,8.99
P521,520,67,639,9,3,3,11.23
P522,521,90,112,2,1,1,9.01
P523,522,50,627,9,1,2,7.59
P524,523,64,261,9,3,2,8.49
P525,524,22,127,6,1,2,2.22
P526,525,32,412,1,2,2,7.64
P527,526,29,664,5,2,2,7.66
P528,527,21,497,10,3,1,4.81
P529,528,22,210,6,1,2,3.72
P530,529,44,477,10,2,1,4.36
P531,530,47,786,1,2,3,10.09
P532,531,66,773,5,2,3,11.67
P533,532,44,132,7,2,3,3.4
P534,533,35,654,5,1,3,4.07
P535,534,70,556,8,1,3,7.75
P536,535,78,743,8,3,1,15.05
P537,536,48,709,2,1,3,9.3
P538,537,23,701,8,1,3,3.44
P539,538,24,707,4,2,3,5.44
P540,539,90,461,9,2,1,9.78
P541,540,29,606,3,3,1,9.98
P542,541,47,590,1,1,3,10.46
P543,542,71,201,8,2,1,8.4
P544,543,45,104,4,1,3,5.85
P545,544,73,772,2,2,3,12.31
P546,545,40,657,5,2,2,10.16
P547,546,81,697,2,2,2,13.53
P548,547,22,617,8,1,3,2.0
P549,548,52,430,2,3,3,11.12
P550,549,30,456,9,2,3,5.18
P551,550,74,253,6,3,1,10.81
P552,551,85,346,8,1,2,9.39
P553,552,27,577,4,3,2,10.57
P554,553,78,695,8,2,2,12.84
P555,554,63,236,5,2,1,9.82
P556,555,62,269,8,2,3,4.17
P557,556,67,702,6,1,3,9.28
P558,557,32,272,10,1,2,2.0
P559,558,46,645,3,1,1,7.15
P560,559,39,728,3,3,1,12.82
P561,560,36,373,4,1,1,7.43
P562,561,20,157,10,1,3,2.0
P563,562,29,414,9,1,1,2.26
P564,563,87,355,8,3,1,12.8
P565,564,45,502,7,3,3,10.83
P566,565,34,727,8,1,3,4.73
P567,566,65,593,9,3,2,10.38
P568,567,86,466,8,3,3,13.29
P569,568,80,263,2,1,2,10.11
P570,569,68,570,5,3,1,14.12
P571,570,88,353,5,2,1,10.55
P572,571,29,779,7,3,2,8.55
P573,572,80,311,3,3,2,13.87
P574,573,60,442,10,2,2,5.49
P575,574,81,636,3,2,1,14.26
P576,575,58,627,8,2,1,8.36
P577,576,73,760,8,1,3,11.65
P578,577,51,542,2,3,2,10.75
P579,578,28,750,10,2,1,6.26
P580,579,44,734,5,1,2,7.35
P581,580,84,290,9,3,1,12.37
P582,581,89,100,7,2,3,11.09
P583,582,76,692,2,3,1,13.92
P584,583,25,439,4,1,3,2.94
P585,584,82,660,7,1,1,8.56
P586,585,51,227,4,2,1,7.05
P587,586,62,518,8,2,2,10.2
P588,587,23,414,3,2,1,6.71
P589,588,68,267,3,1,1,8.16
P590,589,32,339,3,3,3,5.27
P591,590,62,557,9,3,3,11.34
P592,591,76,618,8,3,3,11.15
P593,592,35,694,3,2,1,6.11
P594,593,24,382,1,2,1,7.52
P595,594,24,668,5,2,3,5.73
P596,595,38,296,2,2,3,7.13
P597,596,58,551,1,1,2,8.82
P598,597,38,227,6,1,1,4.55
P599,598,43,437,10,1,1,3.94
P600,599,36,421,6,2,1,5.9
P601,600,47,417,9,1,2,3.72
P602,601,68,303,7,3,3,12.57
P603,602,29,197,9,3,2,6.21
P604,603,41,253,7,3,3,5.14
P605,604,48,594,6,3,1,10.17
P606,605,85,513,5,2,2,10.85
P607,606,86,233,10,1,1,8.55
P608,607,78,199,2,1,1,12.14
P609,608,45,365,5,3,3,9.65
P610,609,41,709,9,1,1,6.06
P611,610,64,167,7,1,1,6.79
P612,611,55,172,10,2,2,5.27
P613,612,36,469,6,2,3,7.07
P614,613,23,704,9,3,2,7.17
P615,614,38,347,1,3,1,11.46
P616,615,59,138,1,1,3,9.24
P617,616,71,146,1,1,2,7.56
P618,617,59,302,2,3,2,9.86
P619,618,77,260,2,2,3,11.81
P620,619,38,263,8,2,3,5.59
P621,620,84,702,8,3,2,14.23
P622,621,25,718,9,3,1,6.68
P623,622,79,793,5,1,2,11.02
P624,623,80,669,6,2,2,14.12
P625,624,56,434,2,2,3,9.25
P626,625,76,304,4,2,3,7.86
P627,626,80,187,4,3,1,11.1
P628,627,20,713,6,1,1,6.83
P629,628,24,120,2,3,3,7.56
P630,629,54,168,1,3,2,11.79
P631,630,42,764,5,1,3,6.78
P632,631,74,488,4,2,2,12.09
P633,632,68,461,10,3,1,10.56
P634,633,25,208,3,3,2,6.41
P635,634,60,729,5,2,3,10.91
P636,635,86,513,9,3,2,12.31
P637,636,48,338,5,3,1,7.84
P638,637,42,144,1,3,1,11.24
P639,638,85,584,6,2,2,11.6
P640,639,29,214,4,2,1,6.01
P641,640,47,110,7,3,3,4.88
P642,641,34,481,8,3,1,6.26
P643,642,28,274,1,2,1,9.58
P644,643,66,548,2,2,3,12.12
P645,644,32,192,1,1,1,3.92
P646,645,45,116,7,1,1,3.17
P647,646,45,404,3,3,2,5.79
P648,647,81,628,9,3,1,12.53
P649,648,22,306,5,3,2,6.65
P650,649,84,192,9,2,1,11.4
P651,650,70,729,9,3,2,13.54
P652,651,60,528,3,3,1,12.01
P653,652,65,641,9,2,3,7.76
P654,653,27,633,6,3,1,6.96
P655,654,55,434,4,1,1,7.28
P656,655,64,434,4,1,3,7.48
P657,656,86,102,6,2,3,8.38
P658,657,79,221,2,2,1,13.39
P659,658,28,447,2,1,3,5.89
P660,659,77,467,7,2,1,9.37
P661,660,83,143,7,1,3,8.16
P662,661,36,499,7,3,3,8.49
P663,662,40,675,10,2,1,8.76
P664,663,61,544,6,3,1,11.3
P665,664,59,336,2,2,2,9.8
P666,665,21,277,3,2,3,6.64
P667,666,37,417,1,2,2,11.67
P668,667,86,321,1,2,1,13.6
P669,668,47,477,4,3,2,9.75
P670,669,89,439,10,1,1,10.56
P671,670,47,491,1,1,3,7.41
P672,671,54,690,5,2,2,7.5
P673,672,67,316,8,2,3,10.67
P674,673,90,203,6,2,2,10.77
P675,674,27,430,1,2,1,8.59
P676,675,86,464,3,3,3,15.14
P677,676,35,352,1,3,3,11.18
P678,677,49,607,5,3,2,9.54
P679,678,57,514,8,2,1,8.65
P680,679,22,307,5,1,1,4.87
P681,680,29,438,9,1,1,2.46
P682,681,80,764,4,3,3,17.07
P683,682,43,750,2,3,1,10.98
P684,683,40,661,4,2,1,12.04
P685,684,61,567,6,1,2,7.94
P686,685,37,254,7,2,2,4.19
P687,686,40,744,7,1,3,7.94
P688,687,41,163,7,1,3,5.63
P689,688,41,192,2,2,1,9.59
P690,689,31,395,6,2,2,6.96
P691,690,22,255,8,2,2,3.6
P692,691,68,537,10,3,3,11.44
P693,692,41,759,8,1,2,6.49
P694,693,74,243,7,1,3,6.18
P695,694,75,254,5,3,3,10.89
P696,695,56,333,1,3,3,10.89
P697,696,76,363,5,2,2,9.64
P698,697,31,163,10,2,1,2.62
P699,698,38,593,2,2,3,7.98
P700,699,39,149,6,2,3,4.19
P701,700,22,737,9,3,3,4.98
P702,701,75,159,10,3,1,7.23
P703,702,55,736,4,1,2,8.51
P704,703,83,265,8,3,3,11.42
P705,704,41,741,7,3,2,8.97
P706,705,29,523,8,3,2,7.27
P707,706,36,164,7,3,3,8.44
P708,707,72,283,2,1,2,8.19
P709,708,32,188,2,3,1,7.22
P710,709,82,602,7,1,1,11.12
P711,710,51,492,8,2,3,3.54
P712,711,82,527,6,3,3,15.92
P713,712,67,117,7,3,3,8.25
P714,713,32,328,6,3,1,7.46
P715,714,79,369,6,3,1,10.53
P716,715,82,521,8,1,2,10.55
P717,716,86,511,3,1,2,10.63
P718,717,57,346,8,2,1,8.48
P719,718,25,305,3,2,3,5.37
P720,719,78,448,5,2,1,12.15
P721,720,60,386,5,2,3,11.17
P722,721,64,738,10,2,1,9.88
P723,722,39,599,1,2,1,7.42
P724,723,43,157,8,2,3,5.26
P725,724,42,785,8,3,2,10.07
P726,725,47,572,7,2,2,9.81
P727,726,36,385,7,1,2,5.98
P728,727,32,270,5,2,1,5.0
P729,728,74,566,4,3,1,15.43
P730,729,72,570,4,2,1,11.18
P731,730,76,407,9,2,3,6.71
P732,731,34,239,1,1,2,5.24
